País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Colombia,2008,1266,Ley estatutaria,EXPIDE LA LEY DEL HABEAS DATA FINANCIERO. CONTIENE DISPOSICIONES RELACIONADAS CON LA CIRCULACIÓN RESTRINGIDA Y ACCESO LIMITADO A DATOS PERSONALES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1266_2008.html,2008-12-31,NO,,SI,,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Ecuador,2008,Constitución del Ecuador,,"Se analizan: [1] Art. 18.1: Derecho a buscar, recibir, intercambiar, producir y difundir información ""verificada""; [2] Art. 18.2: Acceso a la información pública; [3] Art. 66.7: Derecho a la rectificación, réplica y respuesta por ""informaciones sin pruebas o inexactas""; [4] 66.19: Datos personales limitados autorización del titular o el mandato de ley; [5] Art. 19: Prohibición de publicidad que induzca la violencia; discriminación; racismo.",http://www.asambleanacional.gob.ec/sites/default/files/documents/old/constitucion_de_bolsillo.pdf,2008-10-20,SI,,SI,2015-12-21,NO,NO,NO,NO,SI,SI,SI,NO,SI,Limita,Privacidad y Derechos ARCO,SI,NO,NO,NO,Privacidad,,
Guatemala,2008,DECRETO NÚMERO 22-2008,Ley ordinaria,LEY CONTRA EL FEMICIDIO Y OTRAS FORMAS DE VIOLENCIA CONTRA LA MUJER,WWW.JURISPRUDENCIA.OJ.GOB.GT,2008-05-02,SI,CÓDIGO PENAL Y LEY PARA LA PROTECCIÓN DE SUJETOS PROCESALES Y PERSONAS VINCULADAS A LA ADMINISTRACIÒN DE JUSTICIA PENAL,SI,2016,SI,NO,NO,NO,SI,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,"RECIENTEMENTE, BAJO LA NORMATIVA DE ESTA LEY, ALGUNAS MUJERES QUE HAN OCUPADO CARGOS POLÍTICOS O CARGOS DE DIRECCIÓN DE PARTIDOS POLÍTICOS, HAN REQUERIDO TUTELA DE LOS TRIBUNALES ESPECIALIZADOS EN ESTA MATERIA PARA ORDENAR QUE PERIODISTAS DEJEN DE ESCRIBIR ARTÍCULOS O REALIZAR PUBLICACIONES QUE CONSIDERAN UNA FORMA DE VIOLENCIA PSICOLÓGICA -Y HAN SIDO OTORGADAS MEDIDAS ORDENANDO QUE NO SE HAGAN TALES PUBLICACIONES"
Guatemala,2008,DECRETO NÚMERO 64-2008,Ley ordinaria,REGULACIÓN DEL DELITO DE PÁNICO FINANCIERO (CÓDIGO PENAL),WWW.JURISPRUDENCIA.OJ.GOB.GT,2008-10-21,SI,CÓDIGO PENAL,SI,,SI,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,NO,NO,,,PENAS EXCESIVAS E INCONMUTABILIDAD DE LA PENA
Guatemala,2008,DECRETO NÚMERO 57-2008,Ley ordinaria,LEY DE ACCESO A LA INFORMACIÓN PÚBLICA,WWW.JURISPRUDENCIA.OJ.GOB.GT,2008-10-23,NO,,SI,,NO,NO,SI,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,SI,SI,SI,SI,Datos personales,,
Paraguay,2008,3540,Ley ordinaria,"PROMOVER, PROTEGER Y ASEGURAR EL GOCE PLENO Y EN CONDICIONES DE IGUALDAD DE TODOS LOS DERECHOS HUMANOS Y LIBERTADES FUNDAMENTALES POR TODAS LAS PERSONAS CON DISCAPACIDAD, Y PROMOVER EL RESPETO DE SU DIGNIDAD INHERENTE.",http://www.pj.gov.py/images/contenido/secretariadegenero/marcolegal/LEY-3540-2008.pdf,2008-06-26,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Argentina,2007,26268,,Modificación. Asociaciones ilícitas terroristas y financiación del terrorismo. Modificación de la Ley Nº 25.246 de Encubrimiento y Lavado de Activos de origen delictivo.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/125000-129999/129803/norma.htm,2007-06-13,SI,,SI,,SI,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad nacional,NO,NO,NO,NO,,,
Colombia,2007,1123,Ley ordinaria,"EXPIDE EL CÓDIGO DISCIPLINARIO DEL ABOGADO. EL ARTÍCULO 31 ESTABLECE LAS FALTAS CONTRA EL DECORO PROFESIONAL ENTRE LAS CUALES ESTÁN UTILIZAR PROPAGANDA QUE NO SE LIMITE AL NOMBRE, TÍTULOS Y ESPECIALIZACIONES ACADÉMICAS, CARGOS Y DATOS DE CONTACTO Y SOLICITAR O CONSEGUIR PUBLICIDAD LAUDATORIA PARA SÍ O PARA LOS SERVIDORES PÚBLICOS QUE CONOZCAN O HAYAN CONOCIDO DE LOS ASUNTOS A SU CARGO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1123_2007.html,2007-01-22,SI,LEY 20 DE 1972,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,SI,NO,NO,NO,Administración de Justicia,,"PODRÍA ARGUMENTARSE QUE ES JUSTIFICABLE QUE SE PROHÍBA A UN ABOGADO CONSEGUIR PUBLICIDAD LAUDATORIA PARA LOS SERVIDORES PÚBLICOS QUE CONOZCAN O HAYAN CONOCIDO DE LOS ASUNTOS A SU CARGO, COMO FORMA DE EVITAR INJERENCIAS ILEGÍTIMAS EN EL TRABAJO DE LOS SERVIDORES. SIN EMBARGO, EL DECORO PROFESIONAL NO ES UN OBJETIVO LEGÍTIMO PARA IMPONER RESTRICCIONES A LA PUBLICIDAD PROFESIONAL DEL PROPIO ABOGADO. LA CORTE CONSTITUCIONAL HA SIDO CLARA EN SEÑALAR QUE LAS EXPRESIONES PUBLICITARIAS TAMBIÉN ESTÁN PROTEGIDAS."
Colombia,2007,1123,Ley ordinaria,"EXPIDE EL CÓDIGO DISCIPLINARIO DEL ABOGADO. EL ARTÍCULO 32 ESTABLECE COMO FALTA CONTRA EL RESPETO A LA ADMINISTRACIÓN DE JUSTICIA Y A LAS AUTORIDADES EL INJURIAR O ACUSAR TEMERARIAMENTE A LOS SERVIDORES PÚBLICOS, ABOGADOS Y PERSONAS QUE INTERVIENEN EN LOS ASUNTOS PROFESIONALES, SIN PERJUICIO DEL DERECHO DE REPROCHAR DELITOS O FALTAS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1123_2007.html,2007-01-22,SI,LEY 20 DE 1972,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Gobierno Digital,SI,SI,SI,SI,Administración de Justicia,,
Colombia,2007,1143,Ley ordinaria,"APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO DIECISEIS TRATA LOS DERECHOS DE PROPIEDAD INTELECTUAL. EL CAPÍTULO CONTIENE DISPOSICIONES RELATIVAS A LA PROTECCIÓN DE MARCAS, INDICACIONES GEOGRÁFICAS Y NOMBRES DE DOMINIOS DE INTERNET.",http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,Propiedad intelectual,SI,SI,SI,SI,,,
Colombia,2007,1143,Ley ordinaria,"APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO DIECISEIS TRATA LOS DERECHOS DE PROPIEDAD INTELECTUAL. EL CAPÍTULO CONTIENE DISPOSICIONES RELATIVAS A LA PROTECCIÓN DE LOS DERECHOS DE AUTOR Y CONEXOS. EL ACUERDO ESTABLECE QUE LAS PARTES DEBERÁN DISPONER QUE LOS AUTORES, INTÉRPRETES Y PRODUCTORES TENGAN EL DERECHO DE AUTORIZAR Y PROHIBIR TODA REPRODUCCIÓN DE SUS OBRAS. LAS PARTES PODRÁN ESTABLECER LIMITACIONES Y EXCEPCIONES A ESTOS DERECHOS LAS CUALES DEBERÁN ESTAR CONFINADAS A CASOS ESPECIALES QUE NO AFECTEN LA EXPLOTACIÓN NORMAL DE LA OBRA, INTERPRETACIÓN O FONOGRAMA Y QUE NO CAUSEN UN PERJUICIO INJUSTIFICADO A LOS INTERESES DEL TITULAR DE LOS DERECHOS.",http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Propiedad intelectual,SI,SI,SI,SI,,,
Colombia,2007,1143,Ley ordinaria,"APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO DIECISEIS TRATA LOS DERECHOS DE PROPIEDAD INTELECTUAL. EL ACUERDO ESTABLECE QUE LAS PARTES DEBERÁN ADOPTAR MEDIDAS CONTRA LA ELUSIÓN DE LAS MEDIDAS TECNOLÓGICAS DE PROTECCIÓN. LAS PARTES SE COMPROMETEN A ESTABLECER SANCIONES CIVILES O PENALES POR LA ELUSIÓN DE ESTAS MEDIDAS. EL TRATADO PREVÉ LA ESTIPULACIÓN DE ALGUNAS EXCEPCIONES Y LIMITACIONES PARA LAS MEDIDAS TECNOLÓGICAS DE PROTECCIÓN, EXPRESAMENTE MENCIONADAS EN EL ACUERDO.",http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,SI,SI,NO,NO,NO,Limita,Propiedad intelectual,SI,SI,NO,NO,,,"SI BIEN EL TRATADO ESTABLECE CIERTAS EXCEPCIONES Y LIMITACIONES PARA LA ELUSIÓN DE LAS MEDIDAS TECNOLÓGICAS DE PROTECCIÓN, SE ESTABLECE QUE DICHAS EXCEPCIONES Y LIMITACIONES DEBEN LIMITARSE A LAS QUE EL MISMO TRATADO ESTABLECE EXPRESAMENTE, CON LO CUAL SE DEJAN POR FUERA MÚLTIPLES ESCENARIOS DONDE LEGÍTIMAMENTE SE JUSTIFICARÍA LA ELUSIÓN DE LAS MEDIDAS TECNOLÓGICAS DE PROTECCIÓN. EN CONSECUENCIA, LA PROTECCIÓN A LOS DERECHOS DE AUTOR Y CONEXOS ES DESPROPORCIONADA."
Colombia,2007,1143,Ley ordinaria,APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO DIECISEIS TRATA LOS DERECHOS DE PROPIEDAD INTELECTUAL. ADOPTA MEDIDAS PARA LA PROTECCIÓN DE SEÑALES PORTADORAS DE PROGRAMAS TRANSMITIDOS POR SATÉLITE.,http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Propiedad intelectual,SI,SI,SI,SI,,,
Colombia,2007,1143,Ley ordinaria,"APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO DIECISEIS TRATA LOS DERECHOS DE PROPIEDAD INTELECTUAL. SE ADOPTAN MEDIDAS PARA LIMITAR LA RESPONSABILIDAD DE LOS PROVEEDORES DE SERVICIOS EN LAS VIOLACIONES A DERECHOS DE PROPIEDAD INTELECTUAL (SAFE HARBOR), SIN EMBARGO, LA NO RESPONSABILIDAD DE LOS PROVEEDORES ESTÁ CONDICIONADA A LA ADOPCIÓN DE SISTEMAS DE NOTIFICACIÓN Y RETIRADA, AL ESTILO DE LA DIGITAL MILLENNIUM COPYRIGHT ACT (DMCA) ESTADOUNIDENSE.",http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,SI,SI,NO,SI,NO,Limita,Propiedad intelectual,SI,NO,NO,NO,,,"EL MECANISMO DE NOTIFICACIÓN Y RETIRADA ACORDADO EN EL TLC DA UNA PROTECCIÓN DESPROPORCIONADA, QUE PODRÍA AFECTAR INCLUSO MATERIAL NO PROTEGIDO POR DERECHOS DE AUTOR. SE CONTEMPLA UN SISTEMA EXTRAJUDICIAL, EN EL CUAL EL INTERMEDIARIO DE INTERNET ESTÁ OBLIGADO A RETIRAR CONTENIDO CON EL SÓLO RECIBIMIENTO DE UNA NOTIFICACIÓN DE VIOLACIÓN."
Colombia,2007,1143,Ley ordinaria,"APRUEBA EL TRATADO DE LIBRE COMERCIO ENTRE COLOMBIA Y ESTADOS UNIDOS Y SUS CARTAS ADJUNTAS Y ENTENDIMIENTOS. EL CAPÍTULO 19 DICTA MEDIDAS DE TRANSPARENCIA. ADEMÁS, VARIOS CAPÍTULOS CONTIENEN OBLIGACIONES EN ESTE MISMO SENTIDO.",http://www.tlc.gov.co/publicaciones/727/texto_final_del_acuerdo,2007-07-04,NO,,SI,2007-11-21,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,,,
Colombia,2007,1171,Ley ordinaria,ESTABLECE BENEFICIOS PARA LOS ADULTOS MAYORES. EL ARTÍCULO 3 ESTABLECE DESCUENTO PARA EL ACCESO A ESPECTÁCULOS PÚBLICOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1171_2007.html,2007-12-07,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
México,2007,CPF,Artículos específicos,"Se trataba de delitos por los que se pretendía proteger el honor de las personas. En el caso del delito de injuria era ante la expresión que ofendía o ultrajaba, mientras que la difamación era para los casos en los que se difundía una información que perjudicaba a la persona en su honor o reputación.",http://www.dof.gob.mx/nota_detalle.php?codigo=4975044&fecha=13/04/2007  http://legislacion.scjn.gob.mx/Buscador/Paginas/AbrirDocArticulo.aspx?q=9kasjIjnGyd4TgPCcahnJu4pfyMzBgbGRlM0zp7HSaJhIOwbwHS0ffwmi1xCePEd+lGfxOctQQvNZKfLC1eJug==,2007-04-03,SI,,NO,13 de abril de 2007,,SI,SI,NO,NO,NO,NO,NO,NO,Promueve,Honor y reputación,,,,,,,
México,2007,CPF,,Se trataba de un delito por el que se pretendía proteger el honor de una persona ante la atribución falsa de un delito,http://www.dof.gob.mx/nota_detalle.php?codigo=4975044&fecha=13/04/2007   http://legislacion.scjn.gob.mx/Buscador/Paginas/AbrirDocArticulo.aspx?q=9kasjIjnGyd4TgPCcahnJu4pfyMzBgbGRlM0zp7HSaJhIOwbwHS0ffwmi1xCePEd+lGfxOctQQvNZKfLC1eJug==,2007-04-03,SI,,NO,39185,,SI,SI,NO,NO,NO,NO,NO,NO,Promueve,Honor y reputación,,,,,,,
México,2007,CCF,Artículos específicos,"Establecen las reglas para reclamar daño moral ante el presunto ejercicio indebido de la libertad de expresión que dañe la reputación, honor, imagen, privacidad, datos personales.",http://www.diputados.gob.mx/LeyesBiblio/pdf/2_241213.pdf     http://www.dof.gob.mx/nota_detalle.php?codigo=4975044&fecha=13/04/2007,2007-04-30,SI,,SI,,NO,SI,SI,NO,NO,NO,NO,NO,NO,Limita,Honor y reputación,NO,SI,SI,NO,,,
México,2007,"LPSTP, LAPO, CFPP y CPF",Ley,Regular el tema de trata de personas,http://www.dof.gob.mx/nota_detalle.php?codigo=5007793&fecha=27/11/2007,2007-11-27,SI,,SI,,SI,NO,NO,NO,SI,SI,SI,NO,NO,Limita,DESC,NO,SI,SI,NO,Trabajo sexual,,
Perú,2007,Ley No. 29139,,Expande la prohibición de menores de edad a contenidos pornográficos para incluir también el acceso a “canales de conversación o cualquier otra forma de comunicación en red de contenido y/o información pornográfica”. También prohibe el acceso de menores de edad a cabinas públicas de internet durante horario escolar y obliga a los proveedores a llevar un registro de sus visitas.,http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o252339.htm/mes272245.htm/dia272246.htm/sector272247.htm/sumilla272248.htm,2007-12-01,SI,,SI,,NO,NO,SI,NO,SI,SI,SI,NO,SI,Limita,Derechos de los niños,SI,NO,NO,NO,,,
Colombia,2006,1010,Ley ordinaria,"DICTA MEDIDAS TENDIENTES A PREVENIR, CORREGIR Y SANCIONAR EL ACOSO LABORAL. EL ARTÍCULO 7 ESTABLECE ALGUNAS CONDUCTAS QUE CONSTITUYEN ACOSO LABORAL. SE PRESUMIRÁ QUE HAY ACOSO SI SE ACREDITA LA OCURRENCIA REPETIDA Y PÚBLICA DE CONDUCTAS COMO: EMITIR EXPRESIONES INJURIOSAS O ULTRAJANTES SOBRE LA PERSONA, CON UTILIZACIÓN DE PALABRAS SOECES O CON ALUSIÓN A LA RAZA, EL GÉNERO, EL ORIGEN FAMILIAR O NACIONAL, ETC.; HACER COMENTARIOS HOSTILES Y HUMILLANTES DE DESCALIFICACIÓN PROFESIONAL; HACER DESCALIFICACIONES HUMILLANTES DE PROPUESTAS U OPINIONES DE TRABAJO; BURLARSE DE LA APARIENCIA FÍSICA O FORMA DE VESTIR; ALUDIR A HECHO DE LA Privacidad DE LA PERSONA Y ENVIAR MENSAJES CON CONTENIDO INJURIOSO, OFENSIVO O INTIMIDATORIO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1010_2006.html,2006-01-23,NO,,SI,29/04/13,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,SI,SI,NO,Acoso,,"ALGUNAS DE LAS EXPRESIONES CONTENIDAS EN EL ARTÍCULO SON DEMASIADO AMPLIAS (POR EJEMPLO, ""COMENTARIOS HOSTILES""), EN CONSECUENCIA, PUEDEN RESULTAR VAGAS O AMBIGUAS, CON LO CUAL SE DEJA UN MARGEN DE DECISIÓN MUY AMPLIO QUE PUEDE TERMINAR RESTRINGIENDO EXCESIVAMENTE LA LIBERTAD DE EXPRESIÓN."
Colombia,2006,1015,Ley ordinaria,"EXPIDE EL RÉGIMEN DISCIPLINARIO PARA LA POLICÍA NACIONAL. LOS ARTÍCULOS 34, 35 Y 36 ESTABLECEN LAS FALTAN GRAVÍSIMAS, GRAVES Y LEVES. LOS MIEMBROS DE LA POLICÍA TIENEN PROHIBIDO: PARTICIPAR EN LAS ACTIVIDADES DE PARTIDOS POLÍTICOS E INDUCIR A PARTICULARES Y SUBALTERNOS A RESPALDAR TALES ACTIVIDADES; PROFERIR EN PÚBLICO EXPRESIONES INJURIOSAS O CALUMNIOSAS CONTRA LA INSTITUCIÓN, SERVIDOR PÚBLICO O PARTICULAR; IRRESPETAR A LOS MIEMBROS DE OTROS CUERPOS ARMADOS Y TRATAR A OTROS EN FORMA DESCORTÉS Y UTILIZAR VOCABULARIO SOEZ.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1015_2006.html,2006-02-07,SI,DECRETO-LEY 1798 DE 2000,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,NO,SI,NO,NO,Honor y reputación,,"EXPRESIONES COMO ""IRRESPETAR"" O ""DESCORTÉS"" SON DEMASIADO AMPLIAS, DEJANDO UN MARGEN MUY AMPLIO DE DECISIÓN, INCOMPATIBLES CON LOS ESTÁNDARES QUE PROTEGEN LA LIBERTAD DE EXPRESIÓN."
Colombia,2006,1098,Ley ordinaria,"EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. EL ARTÍCULO 47 ESTABLECE RESPONSABILIDADES ESPECIALES DE LOS MEDIOS DE COMUNICACIÓN, COMO LA DE NO PUBLICAR PUBLICIDAD DE CIGARRILLOS Y ALCOHOL EN CIERTOS HORARIOS O LA DE ABSTENERSE DE DIVULGAR INFORMACIÓN QUE PERMITA LA IDENTIFICACIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES QUE HAYAN SIDO VÍCTIMAS, AUTORES O TESTIGOS DE HECHOS DELICTIVOS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,SI,,SI,2018-01-09,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2006,1098,Ley ordinaria,"EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. EL ARTÍCULO 48 ESTABLECE LA OBLIGACIÓN LOS CONCESIONARIOS DEL ESPACIO ELECTROMAGNÉTICO DE CEDER ESPACIOS PARA TRANSMITIR MENSAJES DE GARANTÍA Y RESTABLECIMIENTO DE DERECHOS DIRIGIDOS A MENORES Y A SUS FAMILIAS. ADEMÁS, ESTABLECE EL DEBER DE PUBLICAR MÍNIMO UNA VEZ POR SEMANA LOS NOMBRES COMPLETOS Y FOTO DE PERSONAS CONDENADAS EN EL ÚLTIMO MES POR DELITOS CONTRA LA LIBERTAD SEXUAL CUANDO LA VÍCTIMA HAYA SIDO UN MENOR DE EDAD.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,NO,,SI,2018-01-09,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Derechos de los niños,SI,NO,NO,NO,,,"DE ACUERDO CON LA JURISPRUDENCIA DE LA CORTE CONSTITUCIONAL, LA IMPOSICIÓN ARBITRARIA DE CONTENIDOS A MEDIOS DE COMUNICACIÓN ES, EN PRINCIPIO, UNA FORMA DE CENSURA, VIOLATORIA DE LA LIBERTAD DE EXPRESIÓN. SIN EMBARGO, NO TODA IMPOSICIÓN DE CONTENIDOS SIGNIFICA UNA VIOLACIÓN A ESTE DERECHO. RESPECTO DE ESTA DISPOSICIÓN DEBE DECIRSE QUE EN COLOMBIA SE HA ENTENDIDO QUE LOS MEDIOS DE COMUNICACIÓN QUE SON CONCESIONARIOS DEL ESPECTRO, POR HACER USO DE UN BIEN PÚBLICO, TIENEN MAYORES CARGAS QUE OTROS MEDIOS DE COMUNICACIÓN. ESTO PERMITE QUE SE LES PUEDAN HACER EXIGENCIAS DE CONTENIDOS (POR EJEMPLO, DEBEN TRANSMITIR LAS ALOCUCIONES PRESIDENCIALES). POR OTRA PARTE EL ARTÍCULO 13 DE LA CONVENCIÓN AMERICANA AUTORIZA RESTRICCIONES A LA LIBERTAD DE EXPRESIÓN CUANDO ESTAS SEAN NECESARIAS PARA ASEGURAR EL RESPETO A LOS DERECHOS Y LA REPUTACIÓN DE LAS PERSONAS, LA PROTECCIÓN DE LA SEGURIDAD NACIONAL Y EL ORDEN, SALUD Y MORAL PÚBLICAS. EN ESTE CASO, LA NORMA OBLIGA A LA PUBLICACIÓN DE DOS TIPOS DE CONTENIDOS: MENSAJES DE RESTABLECIMIENTO DE DERECHO DIRIGIDOS A MENORES Y A SUS FAMILIAS Y LOS NOMBRES Y FOTO DE PERSONAS CONDENADAS POR DELITOS CONTRA LA LIBERTAD SEXUAL. LA CORTE CONSTITUCIONAL (SENTENCIA C-061 DE 2008) SOSTUVO LA PUBLICACIÓN DE LOS NOMBRES Y FOTOS DE PERSONAS CONDENADAS POR ESTOS DELITOS NO ES UNA MEDIDA IDÓNEA PARA PROTEGER DE MANERA EFECTIVA A LA INFANCIA. AL NO SER IDÓNEA LA MEDIDA, NO SE JUSTIFICA LA IMPOSICIÓN DE ESTE CONTENIDO AL MEDIO DE COMUNICACIÓN."
Colombia,2006,1098,Ley ordinaria,EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. EL ARTÍCULO 49 ESTABLECE QUE LA COMISIÓN NACIONAL DE TELEVISIÓN GARANTIZARÁ QUE EN LA DIFUSIÓN DE PROGRAMAS Y MATERIALES EMITIDOS EN LA FRANJA INFANTIL NO SE PRESENTEN MENSAJES VIOLENTOS O QUE HAGAN APOLOGÍA A LA VIOLENCIA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,NO,,SI,2018-01-09,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2006,1098,Ley ordinaria,EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. EL ARTÍCULO 79 ESTABLECE RESERVA POR VEINTE AÑOS DE TODOS LOS DOCUMENTOS Y ACTUACIONES ADMINISTRATIVA O JUDICIALES DEL PROCESO DE ADOPCIÓN DE MENORES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,NO,,SI,2018-01-09,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2006,1098,Ley ordinaria,EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. LOS ARTÍCULO 153 Y 159 ESTABLECEN LA RESERVA DE LAS ACTUACIONES PROCESALES DEL SISTEMA DE RESPONSABILIDAD PENAL PARA ADOLESCENTES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,NO,,SI,2018-01-09,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2006,1098,Ley ordinaria,EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA. EL ARTÍCULO 194 ESTABLECE LA POSIBILIDAD QUE TIENEN LOS JUECES DE LIMITAR EL ACCESO A LAS AUDIENCIAS EN LAS QUE SE INVESTIGUEN Y JUZGUEN DELITOS CONTRA MENORES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_1098_2006.html,2006-11-08,NO,,SI,2018-01-09,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2006,1109,Ley ordinaria,"APRUEBA EL CONVENIO MARCO DE LA OMS PARA EL CONTROL DEL TABACO. EN EL ARTÍCULO 13 SE ACUERDA PROHIBIR LA PUBLICIDAD, PROMOCIÓN Y PATROCINIO DEL TABACO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_1109_2006.html,2006-12-27,NO,,SI,,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,DESC,SI,SI,SI,SI,Salud,,
Ecuador,2006,Codificación de la Ley de Propiedad Intelectual,Ley orgánica,Art. 83: Excepciones a la explotación de una obra,No existe documento en línea en base de datos oficial,2006-12-28,SI,,NO,2016-12-09,NO,NO,NO,NO,NO,SI,SI,NO,NO,Limita,Propiedad Intelectual,SI,SI,NO,NO,Derechos de autor,,
Paraguay,2006,2861,Ley ordinaria,REPRIME EL COMERCIO Y LA DIFUSIÓN DE MATERIAL PORNOGRÁFICO UTILIZANDO LA IMAGEN DE MENORES.,http://www.bacn.gov.py/leyes-paraguayas/1944/reprime-el-comercio-y-la-difusion-comercial-o-no-comercial-de-material-pornografico-utilizando-la-imagen-u-otra-representacion-de-menores-o-incapaces,2005-12-15,NO,,SI,,SI,NO,NO,NO,SI,SI,NO,NO,SI,Limita,Derechos de los niños,SI,SI,SI,SI,,,
